id,group,cs_background,nn_course,derivative_familiarity,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,pre_score,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,post_score,gain
1,VR,Yes,No,4,0,1,1,1,1,0,1,1,1,1,1,1,10,0,1,1,1,1,0,1,1,1,0,1,1,9,-1
2,VR,Yes,Yes,3,0,1,1,0,0,0,1,1,0,0,0,1,5,0,1,1,0,0,1,0,1,0,0,0,0,4,-1
3,VR,No,No,3,0,1,0,0,1,0,0,1,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,11,8
4,VR,No,No,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,8,7
5,VR,Yes,No,4,0,1,0,0,0,0,0,1,0,0,1,0,3,1,1,0,1,1,0,1,0,1,0,1,1,8,5
6,VR,Yes,No,2,0,1,1,0,1,0,0,1,0,0,0,1,5,0,1,1,1,1,1,1,1,1,1,0,1,10,5
7,VR,Yes,Yes,2,0,1,1,0,1,0,1,1,1,1,1,1,9,1,1,1,0,0,0,1,1,1,1,1,1,9,0
8,VR,Yes,No,2,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,0,1,1,1,1,1,1,1,1,11,9
9,VR,Yes,Yes,5,1,1,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,1,1,0,1,0,5,2
10,VR,No,No,5,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,1,1,1,0,0,1,6,4
